File,Sid,Timestamp,Rule
44487149_84272ed585db9b05ec46a6691297b49a,44487149,07/21/2021-20:11:41.543776,Trojan.Agent.HTTP.C&C
44487149_84272ed585db9b05ec46a6691297b49a,44487149,07/21/2021-20:11:41.543776,Trojan.Agent.HTTP.C&C
